QUESTION	REPONSE	SOLUTION
1	Rien.	0
1	Une erreur de niveau <code>E_WARNING</code> est émise.	1
1	Une erreur fatale de niveau <code>E_COMPILE_ERROR</code> est émise.	0
2	<code>NULL</code>	1
2	<code>boolean</code>	0
2	<code>undefined</code>	0
3	Rien.	0
3	Une erreur de niveau <code>E_WARNING</code> est émise.	0
3	Une erreur fatale de niveau <code>E_COMPILE_ERROR</code> est émise.	1
4	<code>boolean</code>	0
4	<code>integer</code>	1
4	Une erreur de niveau <code>E_WARNING</code> est émise.	0
5	<code>bool(false)</code>	0
5	<code>bool(true)</code>	1
6	<code>bool(false)</code>	1
6	<code>bool(true)</code>	0
7	<code>#32FA62ZT</code>	0
7	<code>1</code>	1
7	<code>Undefined variable : $a</code>	0
8	<code>#32FA62ZT</code>	0
8	<code>2</code>	1
8	<code>Undefined variable : $a</code>	0
9	<code>bool(false)</code>	0
9	<code>bool(true)</code>	1
10	<code>bool(false)</code>	0
10	<code>bool(true)</code>	1
11	<code>-1</code>	0
11	<code>0</code>	0
11	<code>1</code>	1
12	<code>-1</code>	1
12	<code>0</code>	0
12	<code>1</code>	0
13	<code>bool(false)</code>	1
13	<code>bool(true)</code>	0
14	<code>bool(false)</code>	0
14	<code>int(0)</code>	1
14	<code>int(1)</code>	0
15	<code>Array()</code>	0
15	<code>Array([0] => 0 [1] => 0)</code>	0
15	<code>Array([0] => 0)</code>	1
15	<code>Array([1] => 0)</code>	0
16	<code>Array()</code>	0
16	<code>Array([0] => 0 [1] => 0)</code>	0
16	<code>Array([0] => 0)</code>	1
16	<code>Array([1] => 0)</code>	0
17	<code>Array ()</code>	0
17	<code>Array( [0] => Array ( [0] => Array ()))</code>	1
17	<code>Array([0] => [])</code>	0
17	Une erreur de niveau <code>E_WARNING</code> est émise.	0
18	<code>Array ()</code>	0
18	<code>Array( [0] => Array() [1] => Array ())</code>	1
18	<code>Array([0] => [])</code>	0
18	Une erreur de niveau <code>E_WARNING</code> est émise.	0
19	<code>Array([1] => 0)</code>	1
19	<code>Array([1] => 1 [2] => 0)</code>	0
19	<code>Array([1] => 1)</code>	0
20	<code>Array( [0] => 1 [1] => 2)</code>	0
20	<code>Array( [0] => 2 [1] => 3)</code>	1
20	<code>Array( [1] => 2 [2] => 3)</code>	0
20	<code>Array([0] => [])</code>	0
21	<code>Array( 0 => 0 [1] => 1)</code>	0
21	<code>Array( [a] => 1 [b] => 0)</code>	0
21	<code>Array( [b] => 0 [a] => 1)</code>	1
22	<code>Array( 0 => 0 [1] => 1)</code>	0
22	<code>Array( 0 => 1 [1] => 0)</code>	1
22	<code>Array( [a] => 1 [b] => 0)</code>	0
22	<code>Array( [b] => 0 [a] => 1)</code>	0
23	<code>Array( [0] => 'a' [1] => 0 [a] => 0 )</code>	0
23	<code>Array( [0] => 'a' [1] => 0)</code>	0
23	<code>Array( [0] => 1 [1] => 0 [a] => 0 )</code>	1
23	<code>Array( [0] => 1 [a] => 0)</code>	0
24	<code>Array( [0] => 0 [1] => 0 [-1] => 0 )</code>	0
24	<code>Array( [0] => 1 [1] => 0)</code>	0
24	<code>Array( [0] => 1 [1] => 1 [-1] => 0 )</code>	1
24	<code>Array( [0] => 1 [2] => 0)</code>	0
25	<code>$x</code>	1
25	<code>'1</code>	0
25	<code>\'1</code>	0
25	Une erreur fatale est émise.	0
26	<code>""1</code>	0
26	<code>$x</code>	0
26	<code>'""1'</code>	0
26	<code>\""1</code>	1
26	Une erreur fatale est émise.	0
27	<code>$tab[$i]</code>	0
27	<code>$tab[1]</code>	0
27	<code>1</code>	0
27	<code>2</code>	1
28	<code>$tab[$i] :2</code>	0
28	<code>$tab[1] :2</code>	0
28	<code>1 :2</code>	1
29	<code>1<="2"</code>	1
29	<code>1<=""2"</code>	0
29	<code>1\<=""2""</code>	0
29	<code>1\<=\""2\""</code>	0
30	<code>ba</code>	0
30	<code>cde</code>	1
30	<code>ef</code>	0
31	<code>0</code>	1
31	<code>1</code>	0
32	<code>hemingway at blue dot ocean</code>	1
32	<code>hemingway at blue.ocean</code>	0
32	<code>hemingway@blue.ocean</code>	0
33	<code>21</code>	0
33	<code>3</code>	0
33	<code>Notice: Undefined variable : a</code>	1
34	<code>2</code>	0
34	<code>3</code>	0
34	<code>Notice: Undefined index : a</code>	1
35	<code>JS ${JS}</code>	0
35	<code>JS ?</code>	1
35	<code>JS pourquoi pas</code>	0
35	<code>pourquoi pas JS</code>	0
36	<code>Et ${Et}</code>	0
36	<code>Et ?</code>	1
36	<code>Et pourquoi pas</code>	0
36	<code>pourquoi pas Et</code>	0
37	<code>-;-cesar;-paxa-romana</code>	1
37	<code>;-cesar;-paxa-romana</code>	0
37	<code>Array( [1] => ; [2] => cesar; [3] => paxa [4] => romana)</code>	0
38	<code>Array( [0] => : [1] => :A [2] => :B:C)</code>	0
38	<code>Array( [0] => :: [1] => :A: [2] => ::B::C::)</code>	0
38	<code>Array( [0] => [1] => :A [2] => :B:C)</code>	1
39	<code>Array( [-1] => 2 [1] => -2)</code>	0
39	<code>Array( [-1] => 2 [1] => 2)</code>	1
39	<code>Array( [1] => 2)</code>	0
40	<code>Array( [-1] => -2 [1] => 2)</code>	1
40	<code>Array( [-1] => -2)</code>	0
40	<code>Array( [-1] => 2 [1] => -2)</code>	0
40	<code>Array( [1] => 2)</code>	0
